Costa Rica,North America,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,
Croatia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,15,28,10,21,5,35,24
Cuba,North America,,2,5,,,,,,,,,2,,,,1,10,22,24,20,,,69,55,65,62,47,14,11
Curacao,North America,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cyprus,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Czech Republic,Eastern Europe,,3,,3,6,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,13,9,13,7,14,15
Czech Republic,Eastern Europe,,,,,,,10,10,16,6,18,20,25,7,22,54,29,29,15,51,,10,8,,,,,,
Denmark,Northern Europe,6,9,,34,17,87,71,14,15,11,6,51,9,6,23,12,17,1,8,8,13,7,14,23,25,29,19,16,41
Djibouti,Africa,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Dominican Republic,North America,,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,2,1
Ecuador,South America,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
Egypt,Africa,,,,,,,,,4,,5,5,1,,,,,,,,1,,,,,5,1,2,3
Eritrea,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Estonia,Eastern Europe,,,,,,,3,6,9,,7,,,,,,,,,,,,3,,3,3,3,2,4
Ethiopia,Africa,,,,,,,,,,,,,,,1,1,2,2,,4,,,3,3,8,7,7,7,8
Fiji,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Finland,Northern Europe,,,,4,30,71,52,52,25,29,27,33,40,26,6,5,4,10,6,9,12,4,7,4,5,2,5,5,1
France,Western Europe,11,235,2,64,40,26,141,110,50,40,44,72,40,33,12,31,27,22,20,29,67,29,57,51,66,53,77,82,96
Gabon,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Georgia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,6,7,7
Germany,Western Europe,,,,,,,,,,,,,,,,,51,102,78,,158,115,,,,,,,
Germany,Western Europe,,,,,,,,,,,,,,,,,52,151,195,264,,181,,,,,,,
Germany,Western Europe,32,45,16,30,21,53,,,77,43,224,,40,52,89,116,,,,,,,198,124,118,149,99,94,159
Ghana,Africa,,,,,,,,,,,,,,,1,1,,1,,,,,20,,,,,,
Greece,Western Europe,48,,2,102,4,2,5,1,,,,,,1,3,,1,2,,5,2,1,2,8,18,31,7,3,7
Grenada,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Guatemala,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Guyana,South America,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Haiti,North America,,1,,,,,,5,1,,,,,,,,,,,,,,,,,,,,
Hungary,Eastern Europe,6,5,4,13,20,30,,22,21,33,41,62,102,64,66,56,81,81,55,61,,44,45,43,53,40,27,26,22
Iceland,Northern Europe,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,14,,
India,Asia,,2,,,,,,,14,15,19,20,15,17,13,15,16,14,,16,,,,1,1,1,3,6,2
Individual Olympic Athletes,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2
Indonesia,Asia,,,,,,,,,,,,,,,,,,,,,,3,6,6,8,5,7,2,4
Iran,Middle East,,,,,,,,,,,,1,7,5,4,2,5,3,2,,,1,3,3,4,6,2,12,8
Iraq,Middle East,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Ireland,Western Europe,,,,,,,,2,1,2,,1,1,5,,1,,,,3,1,,2,4,1,,3,5,3
Israel,Middle East,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,,2
Italy,Western Europe,,5,,56,8,25,84,51,72,77,76,67,54,47,88,51,33,25,31,37,63,29,45,71,65,104,42,68,72
Ivory Coast,Africa,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
Jamaica,North America,,,,,,,,,,,,3,8,,,,1,1,2,3,7,7,4,16,23,13,14,25,30
Japan,Asia,,,,,,,3,1,9,31,23,,12,24,31,62,63,56,41,,49,20,47,42,44,93,51,84,64
Jordan,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Kazakhstan,Asia,,,,,,,,,,,,,,,,,,,,,,,,11,7,8,13,13,18
Kenya,Africa,,,,,,,,,,,,,,,,1,12,12,,,3,9,8,8,7,7,15,11,13
Kosovo,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Kuwait,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
Kyrgyzstan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
Latvia,Eastern Europe,,,,,,,,,,1,2,,,,,,,,,,,,3,1,3,4,3,3,
Lebanon,Middle East,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,
Lithuania,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,13,11,17,3,5,5,7
Luxembourg,Western Europe,,1,,,,,1,2,1,,,,1,,,,,,,,,,,,,,,,
Macedonia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Malaysia,Asia,,,,,,,,,,,,,,,,,,,,,,,2,3,,,1,2,8
Mauritius,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Mexico,North America,,3,,,,,,,,2,16,9,1,2,1,1,9,1,2,10,6,2,1,1,6,4,4,24,5
Moldova,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,2,
Monaco,Western Europe,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Mongolia,Asia,,,,,,,,,,,,,,,,,4,1,1,4,,1,2,1,,1,4,5,2
Montenegro,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
Morocco,Africa,,,,,,,,,,,,,,,1,,,,,,2,3,3,2,5,3,2,1,1
Mozambique,Africa,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Namibia,Africa,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,
Netherlands,Western Europe,,27,,6,16,26,50,27,57,13,37,42,18,,3,31,14,6,14,6,41,45,33,73,79,77,61,69,47
New Zealand,Oceania,,1,,,,,1,1,1,2,1,,3,3,3,6,7,14,25,,23,24,15,9,4,6,15,27,36
Niger,Africa,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Nigeria,Africa,,,,,,,,,,,,,,,,1,,1,,,5,,11,24,8,8,23,,18
North Korea,Asia,,,,,,,,,,,,,,,,,,15,2,5,,,10,5,4,5,6,6,7
Norway,Northern Europe,,9,2,25,42,80,137,22,9,,28,18,13,3,2,,6,8,6,,4,22,23,23,43,7,22,17,19
Pakistan,Asia,,,,,,,,,,,,,,14,14,16,13,15,16,,16,1,16,,,,,,
Panama,North America,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,
Paraguay,South America,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,
Peru,South America,,,,,,,,,,,,1,,,,,,,,,1,12,1,,,,,,
Philippines,Asia,,,,,,,,,1,3,1,,,,,1,,,,,,1,1,1,,,,,1
Poland,Eastern Europe,,,,,,,,5,20,21,12,2,4,19,30,46,37,46,73,50,,21,46,22,24,12,20,12,16
Portugal,Western Europe,,,,,,,,4,6,,3,5,2,,2,,,,2,,3,1,,3,2,3,2,2,1
Puerto Rico,North America,,,,,,,,,,,,1,,,,,,,1,,2,,1,1,,,,2,1
Qatar,Middle East,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,1
Romania,Eastern Europe,,,,,,,,16,,,1,,4,19,15,16,23,40,55,68,106,58,53,38,46,39,22,16,16
Russia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,
Russia,Eastern Europe,,,,,3,14,,,,,,,,,,,,,,,,,,115,187,189,142,140,115
Russia,Eastern Europe,,,,,,,,,,,,,117,169,169,174,192,214,286,442,,300,,,,,,,
Saudi Arabia,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,
Senegal,Africa,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Serbia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,26,25,13,,,
Serbia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,54
Serbia,Eastern Europe,,,,,,,,2,12,,1,16,24,23,17,15,29,18,19,57,87,63,,,,,,,
Singapore,Asia,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,4,1
Slovakia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,3,6,10,10,5,8
Slovenia,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,6,2,3,5,5,5,4
South Africa,Africa,,,,,2,7,21,3,6,5,1,6,14,7,3,,,,,,,,3,5,5,10,1,9,23
South Korea,Asia,,,,,,,,,,,,2,2,2,,3,2,1,17,,41,77,49,66,73,52,78,61,26
Spain,Western Europe,,2,,,,,23,,3,1,,3,1,,14,,,1,6,24,19,5,69,66,42,30,70,63,45
Sri Lanka,Asia,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
Sudan,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Suriname,South America,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Sweden,Northern Europe,,4,,21,84,190,154,72,37,32,35,75,70,34,7,15,9,22,10,20,34,16,35,31,32,12,7,22,28
Switzerland,Western Europe,3,21,3,12,,2,29,60,30,1,52,36,33,3,12,6,13,8,10,2,13,8,1,11,14,7,11,4,11
Syria,Middle East,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,
Syria,Middle East,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Taiwan,Asia,,,,,,,,,,,,,,,1,,1,,,,1,,20,1,5,9,4,2,5
Tajikistan,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1
Tanzania,Africa,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Thailand,Asia,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,3,8,4,3,6
Togo,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Tonga,Oceania,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Trinidad,North America,,,,,,,,,,,,1,2,,,6,,,1,,,,,2,2,1,6,10,1
Trinidad,North America,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Tunisia,Africa,,,,,,,,,,,,,,,,2,2,1,,,,,,1,,,1,3,3
Turkey,Middle East,,,,,,,,,,,2,12,3,7,9,6,2,1,,,3,2,6,6,5,11,7,5,8
Uganda,Africa,,,,,,,,,,,,,,,,,2,2,,1,,,,1,,,,1,
UK,Western Europe,9,108,2,39,368,170,111,64,58,35,36,61,31,46,28,28,19,29,32,47,71,54,50,26,54,57,81,126,145
Ukraine,Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,34,35,47,31,26,15
United Arab Emirates,Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Uruguay,South America,,,,,,,,14,17,1,,3,14,12,,1,,,,,,,,,1,,,,
USA,North America,20,63,394,24,65,107,194,182,88,189,96,152,134,123,125,169,166,171,164,,352,207,224,259,242,263,317,248,264
Uzbekistan,Asia,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,3,13
Venezuela,South America,,,,,,,,,,,,,1,,1,,1,,1,1,3,,,,,2,1,1,3
Vietnam,Asia,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2
"Virgin Islands, British",North America,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Zambia,Africa,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
Zimbabwe,Africa,,,,,,,,,,,,,,,,,,,,15,,,,,,3,4,,
